feature,coefficient
RM,7.574019755550395
DIS,-1.5001586991214808
CRIM,-0.16755282553092377
RAD,0.09582694472641357
INDUS,-0.09247837397035025
AGE,-0.06813565539747102
ZN,0.058401740648297104
TAX,-0.015658959758672472
